type	name	latitude_deg	longitude_deg	icao_code
heliport	Toorghodi Heliport	35.222198	62.2906	OATD
small_airport	Logar Airport	33.9865	69.023102	OALG
small_airport	Afutara Aerodrome	-9.191389	160.948611	AGAF
small_airport	Ulawa Airport	-9.860543583	161.9795465	AGAR
small_airport	Uru Harbour Airport	-8.87333	161.011002	AGAT
small_airport	Barakoma Airport	-7.912779808	156.7059937	AGBA
small_airport	Batuna Aerodrome	-8.562027778	158.1193056	AGBT
small_airport	Geva Airport	-7.575829983	156.5970001	AGEV
small_airport	Gwaunaru'u Airport	-8.70257	160.682007	AGGA
small_airport	Bellona/Anua Airport	-11.30222222	159.7983333	AGGB
small_airport	Choiseul Bay Airport	-6.711944	156.396111	AGGC
small_airport	Ballalae Airport	-6.990745	155.886656	AGGE
small_airport	Fera/Maringe Airport	-8.1075	159.576996	AGGF
large_airport	Honiara International Airport	-9.428	160.054993	AGGH
small_airport	Babanakira Airport	-9.7475	159.839005	AGGI
small_airport	Avu Avu Airport	-9.868333	160.410556	AGGJ
small_airport	Ngorangora Airport	-10.44970036	161.897995	AGGK
small_airport	Santa Cruz/Graciosa Bay/Luova Airport	-10.7203	165.794998	AGGL
medium_airport	Munda Airport	-8.32797	157.263	AGGM
small_airport	Nusatupe Airport	-8.097780228	156.8639984	AGGN
small_airport	Mono Airport	-7.416940212	155.5650024	AGGO
small_airport	Parasi Airport	-9.641670227	161.4250031	AGGP
small_airport	Rennell/Tingoa Airport	-11.55	160.062778	AGGR
small_airport	Sege Airport	-8.57889	157.876007	AGGS
small_airport	Santa Ana Airport	-10.847994	162.454108	AGGT
small_airport	Marau Airport	-9.86166954	160.8249969	AGGU
small_airport	Suavanao Airport	-7.58556	158.731003	AGGV
small_airport	Yandina Airport	-9.092816	159.21841	AGGY
heliport	Isuna Heliport	-9.805809	159.962722	AGIN
small_airport	Kaghau Airport	-7.3305	157.585	AGKG
small_airport	Kukudu Airport	-8.0262	156.94783	AGKU
small_airport	Kwailabesi Airport	-8.360508	160.775127	AGKW
small_airport	Lomlom Airport	-10.296828	166.327322	AGLM
small_airport	Nana Airport	-10.6758	162.2049	AGNA
small_airport	Manaoba Airport	-8.325008	160.80051	AGOB
small_airport	Gatokae Aerodrome	-8.738358	158.202836	AGOK
small_airport	Ringi Cove Airport	-8.126390457	157.1430054	AGRC
small_airport	Ramata Airport	-8.168060303	157.6430054	AGRM
heliport	Tulaghi Heliport	-9.108	160.1491667	AGTI
medium_airport	Nauru International Airport	-0.547458	166.919006	ANYN
heliport	Pöchlarn-Wörth Heliport	48.214386	15.255579	LOAL
heliport	Eisenstadt Heliport	47.84677	16.51345	LOAE
heliport	Baden Hospital Helipad	48.000612	16.255796	LOAF
heliport	Horn Heliport	48.669249	15.660705	LOAH
heliport	Krems University Hospital Helipad	48.412753	15.615224	LOAK
heliport	Wien-Meidling Heliport	48.173743	16.322633	LOAM
small_airport	Packsaddle Airport	-30.29424	142.13758	YPAS
small_airport	Moora Airport	-30.684896	115.982059	YMRO
small_airport	Oakden Hills Airport	-31.66598	137.0361	YOKH
small_airport	Wirraminna Airport	-31.19277	136.21988	YWIR
small_airport	Ama Airport	-4.101111111	141.67	AYAA
small_airport	Mount Aue Airport	-6.229978	144.664181	AYAE
small_airport	Afore Airstrip	-9.13867	148.390701	AYAF
small_airport	Agaun Airport	-9.927715	149.389951	AYAG
small_airport	Aitape Airport	-3.143611	142.346806	AYAI
small_airport	Aiambak Airport	-7.342777778	141.2675	AYAK
small_airport	Amanab Airport	-3.586	141.2143333	AYAM
small_airport	Andakombe Airport	-7.137222222	145.7447222	AYAN
